timestamp (s);valore % gas;;;
3959;9.58;;;
4019;9.58;;;
4079;9.48;;;
4139;9.58;;;
4199;9.58;;;
4259;9.58;;;
4319;9.58;;;
4379;9.58;;;
4439;9.58;;;
4499;9.58;;;
4559;9.68;;;
4619;9.58;;;
4679;9.58;;;
4739;9.58;;;
4799;9.58;;;
4859;9.58;;;
4919;9.58;;;
4979;9.58;;;
5039;9.58;;;
5099;9.68;;;
5159;9.58;;;
5219;9.58;;;
5279;9.48;;;
5339;9.68;;;
5399;9.58;;;
5459;9.48;;;
5519;9.48;;;
5579;9.58;;;
5639;9.58;;;
5699;9.58;;;
5759;9.58;;;
5819;9.58;;;
5879;9.48;;;
5939;9.48;;;
5999;9.48;;;
6059;9.58;;;
6119;9.58;;;
6179;9.58;;;
6239;9.58;;;
6299;9.48;;;
6359;9.58;;;
6419;9.48;;;
6479;9.48;;;
6539;9.48;;;
6599;9.48;;;
6659;9.48;;;
6719;9.38;;;
6779;9.38;;;
6839;9.48;;;
6899;9.38;;;
6959;9.48;;;
7019;9.48;;;
7079;9.48;;;
7139;9.48;;;
7199;10.26;;;
timestamp (s);valore % gas;;;
59;14.47;14:40;Monopoli;06/07/2024
119;11.05;;;
179;10.75;;;
239;10.17;;;
299;9.19;;;
359;10.17;;;
419;9.68;;;
479;9.19;;;
539;8.41;;;
599;9.97;;;
659;9.48;;;
719;10.46;;;
779;9.48;;;
839;9.78;;;
899;9.19;;;
959;9.78;;;
1019;7.43;;;
1079;8.60;;;
1139;9.09;;;
1199;9.19;;;
1259;9.09;;;
1319;9.48;;;
1379;9.68;;;
1439;9.78;;;
1499;9.78;;;
1559;9.78;;;
1619;9.87;;;
1679;9.68;;;
1739;9.58;;;
1799;9.68;;;
1859;9.48;;;
1919;9.29;;;
1979;9.19;;;
2039;9.78;;;
2099;9.29;;;
2159;9.29;;;
2219;9.58;;;
2279;9.58;;;
2339;9.48;;;
2399;9.48;;;
2459;9.48;;;
2519;9.09;;;
2579;9.38;;;
2639;9.09;;;
2699;9.09;;;
2759;9.38;;;
2819;9.48;;;
2879;8.70;;;
2939;9.19;;;
2999;8.99;;;
3059;9.09;;;
3119;8.99;;;
3179;9.19;;;
3239;9.38;;;
3299;9.38;;;
3359;9.19;;;
3419;8.80;;;
3479;9.09;;;
3539;8.99;;;
3599;9.29;;;
3659;9.09;;;
3719;9.29;;;
3779;7.33;;;
3839;9.09;;;
3899;9.48;;;
3959;8.31;;;
4019;9.38;;;
4079;7.14;;;
4139;9.19;;;
4199;8.50;;;
4259;9.19;;;
4319;9.58;;;
timestamp (s);valore % gas;;;
59;8.52;19:25;Guardiagrele;12/07/2024
119;8.80;;;
179;8.21;;;
239;8.21;;;
299;8.21;;;
359;8.21;;;
419;8.11;;;
479;8.31;;;
539;8.31;;;
599;8.41;;;
659;8.41;;;
719;8.31;;;
779;8.41;;;
839;8.41;;;
899;8.41;;;
959;8.41;;;
1019;8.31;;;
1079;8.11;;;
1139;8.41;;;
1199;8.31;;;
1259;8.31;;;
1319;8.21;;;
1379;8.31;;;
1439;8.21;;;
1499;8.21;;;
1559;8.21;;;
1619;8.31;;;
1679;8.02;;;
1739;8.21;;;
1799;8.21;;;
1859;8.21;;;
1919;8.31;;;
1979;8.21;;;
2039;8.21;;;
2099;8.21;;;
2159;8.31;;;
2219;8.31;;;
2279;8.31;;;
2339;7.92;;;
2399;8.21;;;
2459;8.21;;;
2519;8.41;;;
2579;8.41;;;
2639;8.31;;;
2699;8.21;;;
2759;8.21;;;
2819;8.31;;;
2879;8.21;;;
2939;8.31;;;
2999;8.31;;;
3059;8.41;;;
3119;8.31;;;
3179;8.31;;;
3239;8.31;;;
3299;8.31;;;
3359;8.21;;;
3419;8.50;;;
3479;8.31;;;
3539;8.41;;;
3599;8.41;;;
3659;8.41;;;
3719;8.41;;;
3779;8.41;;;
3839;8.31;;;
3899;8.50;;;
3959;8.50;;;
4019;8.31;;;
4079;8.31;;;
